"ID";"Codigo";"Descripcion";"Unidad de medida";"Catalogo";"Stock Total";"Stock Reservado";"Almacen";
"802";"EPP-5169";"ANTEOJO OSCURO";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"802";"EPP-5169";"ANTEOJO OSCURO";"07";"Elementos de Protección Personal";"27,000";"0,000";"OBE_ALM_PRINCIPAL";
"801";"EPP-5168";"ANTEOJO TRANSPARENTE";"07";"Elementos de Protección Personal";"27,000";"0,000";"OBE_ALM_PRINCIPAL";
"801";"EPP-5168";"ANTEOJO TRANSPARENTE";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"808";"EPP-5175";"ARNES PARA CASCO";"07";"Elementos de Protección Personal";"22,000";"0,000";"OBE_ALM_PRINCIPAL";
"808";"EPP-5175";"ARNES PARA CASCO";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"812";"EPP-5180";"ARNES TEXTIL MAPUCHE A CREMALLERA COD-R3620/1";"07";"Elementos de Protección Personal";"1,000";"0,000";"OBE_ALM_PRINCIPAL";
"806";"EPP-5174";"CASCO AMARILLO";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"806";"EPP-5174";"CASCO AMARILLO";"07";"Elementos de Protección Personal";"21,000";"0,000";"OBE_ALM_PRINCIPAL";
"799";"EPP-5176";"CASCO AZUL";"07";"Elementos de Protección Personal";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
"800";"EPP-5167";"CHALECO REFLEX NARANJA";"07";"Elementos de Protección Personal";"37,000";"0,000";"OBE_ALM_PRINCIPAL";
"800";"EPP-5167";"CHALECO REFLEX NARANJA";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"811";"EPP-5179";"CINTURON DE SUJECION LINIERO C/CABO MODELO 181 COD E181";"07";"Elementos de Protección Personal";"12,000";"0,000";"OBE_ALM_PRINCIPAL";
"811";"EPP-5179";"CINTURON DE SUJECION LINIERO C/CABO MODELO 181 COD E181";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"810";"EPP-5178";"FAJA LUMBAR REFORZADA PROMAX LINE PLUS EN CAJA TALLE";"07";"Elementos de Protección Personal";"3,000";"0,000";"OBE_ALM_PRINCIPAL";
"803";"EPP-5170";"GUANTE MULTIFLEX NITRILO ESPUMADO";"07";"Elementos de Protección Personal";"8,000";"0,000";"ITU_ALM_PRINCIPAL";
"803";"EPP-5170";"GUANTE MULTIFLEX NITRILO ESPUMADO";"07";"Elementos de Protección Personal";"8,000";"0,000";"ELDO_ALM_PRINCIPAL";
"803";"EPP-5170";"GUANTE MULTIFLEX NITRILO ESPUMADO";"07";"Elementos de Protección Personal";"65,000";"0,000";"OBE_ALM_PRINCIPAL";
"804";"EPP-5171";"GUANTE VAQUETA MEDIO PASEO DPS221023E";"07";"Elementos de Protección Personal";"18,000";"0,000";"OBE_ALM_PRINCIPAL";
"804";"EPP-5171";"GUANTE VAQUETA MEDIO PASEO DPS221023E";"07";"Elementos de Protección Personal";"2,000";"0,000";"ELDO_ALM_PRINCIPAL";
"805";"EPP-5173";"PROTECTOR AUDITIVO TIPO COPA";"07";"Elementos de Protección Personal";"2,000";"0,000";"OBE_ALM_PRINCIPAL";
"534";"ER-4524";"AMFER FUENTE 24V 10A (FX300 TELECOM)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"3,000";"0,000";"OBE_MOV_AF288VL_TOYOTA_OB06";
"534";"ER-4524";"AMFER FUENTE 24V 10A (FX300 TELECOM)";"07";"Equipamiento de ISP Red/Nodo. Switches, Routers, UPS, Gab.";"1,000";"0,000";"SPD_RANGER_KNV423";
